,Ag,DM,EBV,chi2,dec,field,hmag,objid,period,ra,score_2
23,0.657,15.012,1.965,28.141,40.10176,079-00,13.022,11337477810371118270,1.2691,309.92491,0.566050589085
24,0.41,15.884,1.713,14.25,39.49593,079-00,13.404,11355439432322503545,1.8391,309.43348,0.335185885429
25,0.451,15.419,0.963,9.079,39.79642,079-00,13.179,11355474616694834399,1.12075,309.89627,0.353182941675
26,0.858,14.253,2.08,15.367,38.38241,079-00,10.332,11427461841987767106,6.12992,309.86693,0.978397369385
27,0.527,15.109,1.273,26.875,39.22567,079-00,12.203,11427532210732752698,1.6976,310.60523,0.894021391869
0,0.736,15.048,0.958,5.856,32.31938,176+00,12.278,10011607524761397197,1.62998,83.53265,0.982677519321
1,0.396,19.2,1.389,6.893,30.53859,176+00,14.329,10029780252945476901,9.22097,84.89788,0.347803741693
2,0.434,20.506,0.354,56.507,30.84949,176+00,14.522,10065756273405881318,12.70251,84.17786,0.587437570095
3,0.515,17.389,1.087,9.041,31.25972,176+00,12.675,10101714701680503579,5.60567,83.03366,0.330721825361
4,0.479,17.561,0.866,6.669,32.90254,176+00,13.209,9885577103938895586,4.12027,85.48791,0.362960189581
5,1.107,17.795,0.652,30.841,32.38906,176+00,12.438,9957634697977177939,9.74854,84.70519,0.578811705112
0,0.533,15.478,0.916,20.091,53.58609,140-06,12.416,11035490344732005891,2.01478,43.85318,0.299432188272
1,1.734,14.861,0.687,64.759,53.30049,140-06,11.056,11035525529104227330,3.14805,44.29186,0.741151273251
0,0.616,18.375,1.289,30.826,60.91611,109+00,13.666,11483598507656129409,6.39741,341.52123,0.680284798145
1,0.53,14.863,1.724,4.181,61.20181,109+00,12.199,11483633692028115157,1.60558,342.64796,0.815729260445
2,0.479,16.3,1.405,25.417,61.34421,109+00,12.264,11483651284214159636,4.22111,342.84926,0.427990913391
3,0.429,14.402,1.077,7.063,60.4715,109+00,10.11,11501595313979607175,4.76515,341.23517,0.998072862625
4,0.372,14.87,1.554,7.708,61.135,109+00,0.0,11501665682723654665,1.30584,343.05902,0.455954164267
5,1.006,15.506,1.425,5.353,59.86811,109+00,12.011,11519574528117571709,2.5065,340.37118,0.978583216667
6,0.551,14.616,1.713,9.254,59.60358,109+00,10.612,11555620917321542946,4.64691,340.84598,0.991810142994
7,0.721,14.252,1.421,6.733,59.71294,109+00,10.726,11555638509508310413,2.99086,341.41312,0.9957203269
8,0.455,15.673,1.964,9.698,60.26618,109+00,13.728,11573705684575576444,1.28777,343.11811,0.589896738529
9,0.354,14.785,0.586,9.575,60.5036,109+00,11.466,11573723276761575449,1.9613,343.58673,0.333534479141
10,0.562,12.28,1.482,85.614,60.38975,109+00,9.528,11573723276761620396,1.12623,343.41887,0.383512318134
